ID_Pedido,ID_Cliente,Nombre_Cliente,Email_Cliente,ID_Producto,Nombre_Producto,Categoria,Cantidad,Precio_Unitario,Fecha_Pedido,Ciudad_Envio,Pais_Envio
2187,78606,Elena Alvarado,johannacorrea@example.net,PROD-003,Teclado Mecánico,Accesorios,8,999.7,2023-11-25,Cali,Colombia
2384,69069,Claudia Alba Vargas,ceciliasuarez@example.org,PROD-005,Silla de Oficina,Mobiliario,5,257.69,2025-08-09,Bogotá,Colombia
1069,42759,Leidy Pérez Daza,angelica89@example.net,PROD-003,Teclado Mecánico,Accesorios,10,"1410,83",2023-11-08,Cartagena,Colombia
1932,46154,Leonardo Rojas,romeronatalia@example.net,PROD-003,Teclado Mecánico,Accesorios,2,1022.01,2025-03-08,Barranquilla,Colombia
1300,24661,Santiago Edgardo Flórez Álvarez,moraleskatherine@example.org,PROD-002,Mouse Inalámbrico,Accesorios,3,1488.66,2024-03-03,Barranquilla,Colombia
3472,,Julio Barrera,pereajudith@example.net,PROD-002,Mouse Inalámbrico,Accesorios,4,"583,35",2024-07-13,Barranquilla,Colombia
2848,59759,MarÃ­a GÃ³mez Vargas,cristina62@example.net,PROD-004,Monitor 4K,Tecnología,3,1073.06,2023-10-02,Medellín,Colombia
1868,88365,Alicia Acevedo García,jrodriguez@example.org,PROD-006,Libreta Inteligente,Oficina,7,1157.9,2024-04-14,Bogotá,Colombia
1850,64950,Edilma Esperanza Márquez,luz65@example.net,PROD-001,Laptop Pro,Tecnología,5,1358.58,2025-05-17,Bogotá,Colombia
3490,59743,  Lina Liceth Ramírez ,ceciliaortiz@example.org,PROD-001,Laptop Pro,Tecnología,6,315.53,2023-12-05,Bogotá,Colombia
2905,24090,Antonio Castro Giraldo,vergaraalfredo@example.net,PROD-002,Mouse Inalámbrico,Accesorios,1,"574,56",2025-09-28,Medellín,Colombia
3075,99470,Alexandra ChÃ¡vez CerÃ³n,camilomonsalve@example.com,PROD-006,Libreta Inteligente,Oficina,2,565.75,2024-05-18,Barranquilla,Colombia
1499,63609,María Gómez Mendoza,sanchezomar@example.org,PROD-002,Mouse Inalámbrico,Accesorios,7,149.81,2024-02-06,Medellín,Colombia
